(95.25,4,10)
(98,3,10)
(98,4,10)
(98,5,10)
(100,4,10)
(100,5,10)
(101.5999985,4,10)
(108,3,10)
(108,4,10)
(108,5,10)
(110,4,10)
(110,5,10)
(112,3,10)
(112,5,10)
(114.3000031,4,10)
(114.3000031,5,10)
(114.3000031,6,10)
(115,3,10)
(115,4,10)
(115,5,10)
(115,6,10)
(118,5,10)
(120,3,10)
(120,5,10)
(120.6500015,5,10)
(127,5,10)
(127,6,10)
(130,3,10)
(130,4,10)
(130,5,10)
(135,5,10)
(135,6,10)
(139.6999969,5,10)
(139.6999969,6,10)
(140,4,10)
(140,5,10)
(150,3,10)
(150,5,10)
(150,7,10)
(152.3999939,5,10)
(154.9499969,5,10)
(160,3,10)
(160,4,10)
(160,5,10)
(165.1000061,5,10)
(165.1000061,8,10)
(169.8999939,6,17)
(170,5,17)
(170,6,17)
(170,8,10)
(180,6,17)
(184.1499939,10,17)
(185,6,17)
(190,5,17)
(203.1999969,5,17)
(205,6,17)
(208,5,17)
(222.25,6,17)
(225,10,17)
(275,8,17)
(275,10,17)
(285.75,10,17)
(335,10,17)
